,nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
65,Wild,Film,"['Biopic', 'drame']","Après un passé d'errance et d'addiction, Cheryl, bien que sans expérience, décide de parcourir 1700 km à pied et seule, dans le but de se reconstruire.",['Jean-Marc Vallée'],1 h 55 min,5 décembre 2014,"['Reese Witherspoon', ' Laura Dern', ' Thomas Sadoski']","{'note_moyenne': 6.6, 'nombre_critiques': 10365, 'repartition_note': [28, 66, 153, 389, 1018, 2639, 3559, 1814, 519, 180]}",66,"['7,1', '120 208']",76,"{'budget': '$15,000,000', 'Cumulative_WW_Gross': '$52,501,541', 'location': 'USA'}"
66,L’Étreinte du serpent,Film,['Aventure'],"Karamakate, un chaman amazonien puissant, dernier survivant de son peuple, vit isolé dans les profondeurs de la jungle. Des dizaines d’années de solitude ont fait de lui un chullachaqui, un humain dépourvu de souvenirs et d’émotions. Sa vie est bouleversée par l’arrivée d’Evans, un ethnobotaniste américain à la recherche de la yakruna, une plante sacrée très puissante, possédant la vertu d’apprendre à rêver. Ils entreprennent ensemble un voyage jusqu’au cœur de la forêt Amazonienne au cours duquel, passé, présent et futur se confondent, et qui permettra à Karamakate de retrouver peu à peu ses souvenirs perdus.",['Ciro Guerra'],2 h 05 min,25 mai 2015,"['Nilbio Torres', ' Jan Bijvoet', ' Antonio Bolivar']","{'note_moyenne': 7.6, 'nombre_critiques': 2306, 'repartition_note': [3, 5, 11, 33, 79, 202, 547, 837, 447, 142]}",67,"['7,9', '20 819']",82,"{'budget': '$1,400,000', 'Cumulative_WW_Gross': '$3,217,176', 'location': 'Colombia | Venezuela | Argentina'}"
67,Still Alice,Film,['Drame'],"Alice, enseignante à l'université, est atteinte d'Alzheimer. Dans son combat pour rester elle-même, ses liens avec sa famille sont mis à l'épreuve.","['Richard Glatzer', 'Wash Westmoreland']",1 h 41 min,5 décembre 2014,"['Julianne Moore', ' Kristen Stewart', ' Kate Bosworth']","{'note_moyenne': 6.9, 'nombre_critiques': 7862, 'repartition_note': [16, 23, 64, 185, 511, 1533, 2984, 1880, 523, 143]}",68,"['7,5', '126 309']",72,"{'budget': '$5,000,000', 'Cumulative_WW_Gross': '$44,779,195', 'location': 'USA | UK | France'}"
68,Vampires en toute intimité,Film,"['Comédie', 'Épouvante-horreur']","Dans ce ""mockumnetaire"" sur la vie quotidienne de vampires de plusieurs générations, des questions sont posées : qu'arrive-t-il quand des vampires croisent des loups-garous ? comment se respecter en tant que vampire quand on a perdu son pouvoir de persuasion ? peut-on avoir un ami humain sans avoir envie de le « consommer » ? comment tirer parti d'Internet quand on est un vampire né il y a des centaines d'années ?

Nos cinq colocataires tentent de s'acclimater à leur époque sans pour autant avoir les bonnes réponses.","['Jemaine Clement', 'Taika Waititi']",1 h 26 min,19 juin 2014,"['Taika Waititi', ' Jemaine Clement', ' Jonny Brugh']","{'note_moyenne': 7.2, 'nombre_critiques': 8672, 'repartition_note': [32, 48, 61, 155, 398, 1183, 2983, 2754, 830, 228]}",69,"['7,7', '156 853']",76,"{'budget': '$1,600,000', 'Cumulative_WW_Gross': '$7,253,160', 'location': 'New Zealand'}"
69,Macbeth,Film,['Drame'],"11e siècle : Ecosse. Macbeth, chef des armées, sort victorieux de la guerre qui fait rage dans tout le pays. Sur son chemin, trois sorcières lui prédisent qu’il deviendra roi. Comme envoûtés par la prophétie, Macbeth et son épouse montent alors un plan machiavélique pour régner sur le trône, jusqu’à en perdre la raison.",['Justin Kurzel'],1 h 53 min,1 octobre 2015,"['Michael Fassbender', ' Marion Cotillard', ' Paddy Considine']","{'note_moyenne': 6.1, 'nombre_critiques': 5153, 'repartition_note': [55, 81, 229, 442, 861, 1174, 1234, 777, 228, 72]}",70,"['6,6', '52 813']",71,"{'budget': '$15,000,000', 'Cumulative_WW_Gross': '$16,322,067', 'location': 'UK | France | USA'}"
70,Big Eyes,Film,"['Biopic', 'drame']",Biopic de deux artistes dont les peintures d’enfants aux grands yeux ont été les premières œuvres d’art vendues en masse dans les années 50-60.,['Tim Burton'],1 h 46 min,25 décembre 2014,"['Amy Adams', ' Christoph Waltz', ' Krysten Ritter']","{'note_moyenne': 6.2, 'nombre_critiques': 16376, 'repartition_note': [81, 145, 338, 935, 2240, 4852, 4985, 2170, 478, 152]}",71,"['7,0', '85 637']",62,"{'budget': '$10,000,000', 'Cumulative_WW_Gross': '$29,253,166', 'location': 'USA | Canada'}"
71,This Is Not A Love Story,Film,['Drame'],"Greg Gaines, un lycéen maladroit et associable a pour seul ami un dénommé Earl, avec qui il réalise parfois de courtes parodies de films. Il va également se lier d'amitié avec Rachel, une camarade de lycée atteinte d'une leucémie.",['Alfonso Gomez-Rejon'],1 h 44 min,12 juin 2015,"['Thomas Mann', ' Olivia Cooke', ' RJ Cyler']","{'note_moyenne': 7.2, 'nombre_critiques': 5086, 'repartition_note': [12, 8, 36, 99, 245, 783, 1684, 1600, 488, 131]}",72,"['7,7', '122 899']",74,"{'budget': '$8,000,000', 'Cumulative_WW_Gross': '$9,074,749', 'location': 'USA'}"
72,Avril et le Monde truqué,Long-métrage d'animation,"['Animation', ' aventure', ' comédie']","1941. Le monde est radicalement différent de celui décrit par l’Histoire habituelle. Napoléon V règne sur la France, où, comme partout sur le globe, depuis 70 ans, les savants disparaissent mystérieusement, privant l’humanité d’inventions capitales. Ignorant notamment radio, télévision, électricité, aviation, moteur à explosion, cet univers est enlisé dans une technologie dépassée, comme endormi dans un savoir du XIX° siècle, gouverné par le charbon et la vapeur. C’est dans ce monde étrange qu’une jeune fille, Avril, part à la recherche de ses parents, scientifiques disparus, en compagnie de Darwin, son chat parlant, et de Julius, jeune gredin des rues. Ce trio devra affronter les dangers et les mystères de ce Monde Truqué. Qui enlève les savants depuis des décennies ? Dans quel sinistre but ?","['Christian Desmares', 'Franck Ekinci']",1 h 45 min,4 novembre 2015,"['Marion Cotillard', ' Marc-André Grondin', ' Philippe Katerine']","{'note_moyenne': 7.2, 'nombre_critiques': 6794, 'repartition_note': [10, 11, 39, 90, 274, 1047, 2528, 2036, 608, 151]}",73,"['7,3', '6 863']",85,"{'budget': '$12,400,000', 'Cumulative_WW_Gross': '$495,879', 'location': 'France | Canada | Belgium'}"
73,Amy,Documentaire,,"Documentaire sur Amy Winehouse, une artiste au succès planétaire récompensée par six Grammy Awards. Retour sur sa vie, sur son talent et ses failles.",['Asif Kapadia'],Musique et biopic,2 h 07 min,"['Amy Winehouse', ' Mos Def', ' Mark Ronson']","{'note_moyenne': 7.2, 'nombre_critiques': 6391, 'repartition_note': [12, 20, 49, 99, 271, 826, 2323, 1973, 616, 202]}",74,"['7,0', '5 620']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': None, 'location': 'USA'}"
74,Snow Therapy,Film,"['Drame', 'comédie']","Une famille suédoise voyage dans les Alpes françaises pour skier pendant quelques jours. Pendant un déjeuner, une avalanche met tout sens dessus dessous.",['Ruben Östlund'],2 h,15 août 2014,"['Johannes Kuhnke', ' Lisa Loven Kongsli', ' Vincent Wettergren']","{'note_moyenne': 6.5, 'nombre_critiques': 6002, 'repartition_note': [35, 61, 171, 334, 687, 1459, 1825, 1074, 287, 69]}",75,"['7,3', '49 057']",87,"{'budget': None, 'Cumulative_WW_Gross': '$4,094,339', 'location': 'Sweden | France | Norway | Denmark'}"
75,The Visit,Film,"['Épouvante-Horreur', ' comédie', 'thriller']",Un frère et une sœur partent en vacances dans la ferme de leurs grand parents en Pennsylvanie. Ils y découvrent les activités plus que suspectes du vieux couple...,['M. Night Shyamalan'],1 h 34 min,11 septembre 2015,"['Kathryn Hahn', ' Olivia DeJonge', ' Ed Oxenbould']","{'note_moyenne': 6.2, 'nombre_critiques': 11024, 'repartition_note': [120, 196, 405, 769, 1402, 2747, 3423, 1500, 352, 110]}",76,"['6,2', '113 619']",55,"{'budget': '$5,000,000', 'Cumulative_WW_Gross': '$98,450,062', 'location': 'USA'}"
76,Dope,Film,"['Comédie', 'drame']","Malcom, jeune geek fan de hip-hop des années 90 vit à Inglewood, un quartier chaud de Los Angeles. Avec ses deux amis Diggy et Jibs, il jongle entre musique, lycée et entretiens pour entrer à l’université. Une invitation à une soirée underground va l’entrainer dans une aventure qui pourrait bien le faire passer du statut de « geek » à celui de mec cool, un « dope ».",['Rick Famuyiwa'],1 h 43 min,19 juin 2015,"['Shameik Moore', ' Kiersey Clemons', ' Tony Revolori']","{'note_moyenne': 6.6, 'nombre_critiques': 6678, 'repartition_note': [29, 48, 134, 275, 702, 1648, 2451, 1125, 216, 50]}",77,"['7,2', '80 625']",72,"{'budget': '$7,000,000', 'Cumulative_WW_Gross': '$17,986,781', 'location': 'USA'}"
77,Whiplash,Film,['Drame'],"Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement. Il a pour objectif d’intégrer le fleuron des orchestres dirigé par Terence Fletcher, professeur féroce et intraitable. Lorsque celui-ci le repère enfin, Andrew se lance, sous sa direction, dans la quête de l’excellence...",['Damien Chazelle'],1 h 47 min,10 octobre 2014,"['Miles Teller', ' J.K. Simmons', ' Melissa Benoist']","{'note_moyenne': 8.1, 'nombre_critiques': 61810, 'repartition_note': [120, 122, 255, 471, 1187, 3264, 10659, 22181, 17703, 5848]}",78,"['8,5', '714 217']",88,"{'budget': '$3,300,000', 'Cumulative_WW_Gross': '$49,396,747', 'location': 'USA'}"
78,Invincible,Film,"['Biopic', ' guerre', 'drame']","L'histoire vraie de Louis Zamperini, coureur olympique qui a été envoyé dans un camp de guerre par la marine japonaise en 1942, après le crash de son avion.",['Angelina Jolie'],2 h 17 min,25 décembre 2014,"[""Jack O'Connell"", ' Finn Wittrock', ' Domhnall Gleeson']","{'note_moyenne': 6.5, 'nombre_critiques': 11443, 'repartition_note': [40, 92, 218, 496, 1229, 2808, 3604, 2048, 672, 236]}",79,"['7,2', '148 755']",59,"{'budget': '$65,000,000', 'Cumulative_WW_Gross': '$161,459,297', 'location': 'USA'}"
79,Everest,Film,"['Action', ' aventure', ' biopic']","Inspiré d'une désastreuse tentative d'ascension de la plus haute montagne du monde, Everest suit deux expéditions distinctes confrontées aux plus violentes tempêtes de neige que l'homme ait connues. Luttant contre l'extrême sévérité des éléments, le courage des grimpeurs est mis à l'épreuve par des obstacles toujours plus difficiles à surmonter alors que leur rêve de toute une vie se transforme en un combat acharné pour leur salut.",['Baltasar Kormákur'],2 h 01 min,16 septembre 2015,"['Jason Clarke', ' Jake Gyllenhaal', ' Josh Brolin']","{'note_moyenne': 6.4, 'nombre_critiques': 12931, 'repartition_note': [29, 90, 231, 610, 1531, 3738, 4393, 1819, 360, 130]}",80,"['7,1', '196 722']",64,"{'budget': '$55,000,000', 'Cumulative_WW_Gross': '$203,427,584', 'location': 'UK | USA | Iceland'}"
80,Au-delà des montagnes,Film,['Drame'],"Chine, fin 1999. Tao, une jeune fille de Fenyang est courtisée par ses deux amis d’enfance, Zang et Lianzi. Zang, propriétaire d'une station-service, se destine à un avenir prometteur tandis que Liang travaille dans une mine de charbon. Le cœur entre les deux hommes, Tao va devoir faire un choix qui scellera le reste de sa vie et de celle de son futur fils, Dollar. Sur un quart de siècle, entre une Chine en profonde mutation et l’Australie comme promesse d’une vie meilleure, les espoirs, les amours et les désillusions de ces personnages face à leur destin.",['Jia Zhang-ke'],2 h 06 min,24 septembre 2015,"['Zhao Tao', ' Zhang Yi', ' Liang Jing-Dong']","{'note_moyenne': 6.9, 'nombre_critiques': 2325, 'repartition_note': [20, 18, 33, 76, 166, 417, 757, 602, 178, 58]}",81,"['6,9', '5 091']",79,"{'budget': None, 'Cumulative_WW_Gross': '$5,215,660', 'location': 'China | France | Japan'}"
81,"Hunger Games : La Révolte, partie 2",Film,"['Action', ' aventure', ' drame']","Alors que Panem est ravagé par une guerre désormais totale, Katniss et le Président Snow vont s’affronter pour la dernière fois. Katniss et ses plus proches amis – Gale, Finnick, et Peeta – sont envoyés en mission pour le District 13 : ils vont risquer leur vie pour tenter d’assassiner le Président Snow, qui s’est juré de détruire Katniss. Les pièges mortels, les ennemis et les choix déchirants qui attendent Katniss seront des épreuves bien pires que tout ce qu’elle a déjà pu affronter dans l’arène…",['Francis Lawrence'],2 h 16 min,18 novembre 2015,"['Jennifer Lawrence', ' Josh Hutcherson', ' Liam Hemsworth']","{'note_moyenne': 5.4, 'nombre_critiques': 23431, 'repartition_note': [377, 700, 1491, 2830, 4769, 5848, 4505, 1928, 576, 407]}",82,"['6,6', '285 870']",65,"{'budget': '$160,000,000', 'Cumulative_WW_Gross': '$658,344,137', 'location': 'USA | Germany | Canada | France'}"
82,Love & Mercy : La Véritable Histoire de Brian Wilson des Beach Boys,Film,"['Biopic', 'drame']","Biopic retraçant le parcours de Brian Wilson, compositeur de génie des Beach Boys, qu'une enfance difficile a fini par rendre schizophrène.",['Bill Pohlad'],2 h 02 min,5 juin 2015,"['Paul Dano', ' John Cusack', ' Elizabeth Banks']","{'note_moyenne': 6.9, 'nombre_critiques': 3301, 'repartition_note': [3, 9, 37, 79, 243, 642, 1280, 787, 189, 32]}",83,"['7,4', '36 056']",80,"{'budget': '$10,000,000', 'Cumulative_WW_Gross': '$28,641,776', 'location': 'USA'}"
83,Comme un avion,Film,['Comédie'],"Michel, en pleine crise de la cinquantaine, cherche à fuir son quotidien. Soutenu par sa femme, il entreprend seul la traversée d’une rivière en kayak.",['Bruno Podalydès'],1 h 45 min,10 juin 2015,"['Sandrine Kiberlain', ' Agnès Jaoui', ' Bruno Podalydès']","{'note_moyenne': 6.6, 'nombre_critiques': 3853, 'repartition_note': [26, 39, 88, 171, 391, 815, 1281, 810, 183, 49]}",84,"['6,5', '1 269']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$2,472,665', 'location': 'France'}"
84,Jupiter : Le Destin de l'univers,Film,"['Action', ' aventure', 'science-fiction']","La reine de la galaxie est morte. Jupiter, sa réincarnation terrienne, est recherchée par ses trois héritiers qui veulent récupérer les droits de propriété de la Terre.","['Lilly Wachowski', 'Lana Wachowski']",2 h 07 min,4 février 2015,"['Mila Kunis', ' Channing Tatum', ' Sean Bean']","{'note_moyenne': 4.6, 'nombre_critiques': 17151, 'repartition_note': [759, 1452, 2459, 3150, 3477, 3125, 1789, 676, 156, 108]}",85,"['5,3', '178 712']",40,"{'budget': '$176,000,000', 'Cumulative_WW_Gross': '$183,887,723', 'location': 'USA | Australia'}"
85,Room,Film,"['Drame', 'thriller']","Jack, 5 ans, vit seul avec sa mère, Ma. Elle lui apprend à jouer, à rire et à comprendre le monde qui l’entoure. Un monde qui commence et s’arrête aux murs de leur chambre, où ils sont retenus prisonniers, le seul endroit que Jack ait jamais connu.
L’amour de Ma pour Jack la pousse à tout risquer pour offrir à son fils une chance de s’échapper et de découvrir l’extérieur, une aventure à laquelle il n’était pas préparé.",['Lenny Abrahamson'],1 h 58 min,10 décembre 2015,"['Brie Larson', ' Jacob Tremblay', ' Joan Allen']","{'note_moyenne': 7.5, 'nombre_critiques': 20028, 'repartition_note': [30, 29, 88, 184, 584, 2034, 5815, 7343, 3092, 829]}",86,"['8,1', '369 649']",86,"{'budget': '$13,000,000', 'Cumulative_WW_Gross': '$35,401,758', 'location': 'Canada | Ireland | UK | USA'}"
86,Kurt Cobain: Montage of Heck,Documentaire,,"Ce documentaire est un collage d'images d'archives familiales du couple que formait le musicien avec Courtney Love, d'extraits des journaux de Cobain, de ses dessins et griffonnages, de poèmes et de listes variées, de messages téléphoniques enregistrés sur répondeur, de sons étranges sur cassette... Lire la suite",['Brett Morgen'],2 h 12 min,24 mars 2015,['Kurt Cobain'],"{'note_moyenne': 7.3, 'nombre_critiques': 3114, 'repartition_note': [10, 13, 30, 62, 165, 378, 906, 994, 430, 126]}",87,"['7,5', '27 926']",83,"{'budget': None, 'Cumulative_WW_Gross': '$687,649', 'location': 'USA'}"
87,Demain,Documentaire,,"Et si montrer des solutions, raconter une histoire qui fait du bien, était la meilleure façon de résoudre les crises écologiques, économiques et sociales, que traversent nos pays ? Suite à la publication d’une étude qui annonce la possible disparition d’une partie de l’humanité d’ici 2100, Cyril Dion et Mélanie Laurent sont partis avec une équipe de quatre personnes enquêter dans dix pays pour comprendre ce qui pourrait provoquer cette catastrophe et surtout comment l'éviter. Durant leur voyage, ils ont rencontré les pionniers qui réinventent l’agriculture, l’énergie, l’économie, la démocratie et l’éducation. En mettant bout à bout ces initiatives positives et concrètes qui fonctionnent déjà, ils commencent à voir émerger ce que pourrait être le monde de demain…","['Cyril Dion', 'Mélanie Laurent']",1 h 58 min,2 décembre 2015,"['Anthony Barnosky', ' Olivier de Schutter', ' Cyril Dion']","{'note_moyenne': 7.5, 'nombre_critiques': 8774, 'repartition_note': [44, 38, 62, 120, 320, 833, 2071, 2887, 1628, 771]}",88,"['8,0', '3 200']",71,"{'budget': None, 'Cumulative_WW_Gross': '$11,291,395', 'location': 'France'}"
88,L'Interview qui tue !,Film,"['Action', 'comédie']",Un présentateur TV et son producteur partent en Corée du Nord pour interviewer Kim Jung-Un mais se retrouvent engagés par la CIA pour l'assassiner.,"['Seth Rogen', 'Evan Goldberg']",1 h 52 min,24 décembre 2014,"['James Franco', ' Seth Rogen', ' Lizzy Caplan']","{'note_moyenne': 5.8, 'nombre_critiques': 14336, 'repartition_note': [209, 381, 717, 1355, 2301, 3860, 3632, 1402, 345, 134]}",89,"['6,5', '305 963']",52,"{'budget': '$44,000,000', 'Cumulative_WW_Gross': '$11,782,625', 'location': 'USA'}"
89,Il est difficile d'être un dieu,Film,['Science-fiction'],"La planète Arkanar est une planète similaire à la Terre mais en retard d'environ 800 ans : Arkanar est restée au Moyen Âge, les premiers signes d'une Renaissance ont été écrasés, les « raisonneurs » qui en faisaient partie sont tués les uns après les autres, notamment par l'armée des « Gris ».",['Alexei Guerman'],2 h 57 min,27 février 2014,"['Leonid Yarmolnik', ' Aleksandr Ilin', ' Yuriy Tsurilo']","{'note_moyenne': 6.8, 'nombre_critiques': 1003, 'repartition_note': [28, 30, 44, 55, 105, 116, 204, 205, 139, 77]}",90,"['6,7', '4 973']",90,"{'budget': '$7,000,000', 'Cumulative_WW_Gross': '$1,299,035', 'location': 'Russia'}"
90,Une belle fin,Film,"['Comédie', 'drame']","John May a pour mission de retrouver les proches des personnes décédées. Malgré sa bonne volonté, il est toujours tout seul à leurs obsèques.",['Uberto Pasolini'],1 h 32 min,31 décembre 2013,"['Eddie Marsan', ' Joanne Froggatt', ' Karen Drury']","{'note_moyenne': 6.8, 'nombre_critiques': 2717, 'repartition_note': [8, 18, 37, 92, 230, 564, 946, 585, 178, 59]}",91,"['7,4', '7 381']",45,"{'budget': None, 'Cumulative_WW_Gross': '$2,495,025', 'location': 'UK | Italy'}"
91,Valley of Love,Film,['Drame'],"Après avoir reçu une lettre de leur fils décédé, Isabelle et Gérard se rendent à un étrange rendez-vous, dans la Vallée de la mort, aux États-Unis.",['Guillaume Nicloux'],1 h 31 min,17 juin 2015,"['Gérard Depardieu', ' Isabelle Huppert', ' Dan Warner']","{'note_moyenne': 6.4, 'nombre_critiques': 3244, 'repartition_note': [28, 67, 90, 187, 374, 817, 977, 512, 151, 41]}",92,"['6,0', '2 049']",59,"{'budget': 'EUR2,900,626', 'Cumulative_WW_Gross': '$1,264,277', 'location': 'France | Belgium'}"
92,Un homme idéal,Film,['Thriller'],"Mathieu aspire à devenir un auteur reconnu, mais n’a jamais réussi à être édité. Il tombe sur le manuscrit d’un homme solitaire qui vient de décéder.",['Yann Gozlan'],1 h 37 min,18 mars 2015,"['Pierre Niney', ' Ana Girardot', ' André Marcon']","{'note_moyenne': 6.3, 'nombre_critiques': 9816, 'repartition_note': [38, 88, 237, 579, 1243, 2554, 3094, 1497, 371, 115]}",93,"['6,8', '3 314']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$4,208,906', 'location': 'France'}"
93,Hard Day,Film,"['Action', ' policier', 'thriller']","En route pour assister aux funérailles de sa mère, et tandis qu’il est visé par une enquête pour corruption, le commissaire Ko Gun-Soo renverse accidentellement un homme. Pour se couvrir, il décide de cacher le corps dans le cercueil de sa mère.
Lorsque l'affaire est découverte, on nomme son partenaire pour mener l’enquête. Et quand l’unique témoin de l’accident l’appelle pour le faire chanter, Gun-Soo comprend qu’il n’est pas au bout de ses peines…",['Kim Sung-hoon'],1 h 51 min,29 mai 2014,"['Lee Sun-kyun', ' Cho Jin-woong', ' Jeong Man-sik']","{'note_moyenne': 6.8, 'nombre_critiques': 2936, 'repartition_note': [9, 10, 29, 65, 179, 674, 1252, 569, 118, 31]}",94,"['7,2', '11 251']",76,"{'budget': None, 'Cumulative_WW_Gross': '$26,488,847', 'location': 'South Korea'}"
94,Sea Fog : Les Clandestins,Film,['Drame'],Le capitaine d'un bateau de pêche accepte de transporter des immigrés clandestins de la Chine vers la Corée du Sud pour rembourser ses dettes. Une tempête vient bouleverser ses plans.,['Shim Sung-Bo'],1 h 51 min,13 août 2014,"['Kim Yun-seok', ' Yoo-chun Park', ' Han Ye-ri']","{'note_moyenne': 6.9, 'nombre_critiques': 2038, 'repartition_note': [7, 6, 18, 79, 154, 421, 823, 415, 98, 17]}",95,"['6,9', '2 944']",61,"{'budget': None, 'Cumulative_WW_Gross': '$11,418,310', 'location': 'South Korea'}"
95,Asphalte,Film,['Drame'],"Un immeuble dans une cité. Un ascenseur en panne. Trois rencontres. Six personnages.
Sternkowtiz quittera-t-il son fauteuil pour trouver l’amour d’une infirmière de nuit ?
Charly, l’ado délaissé, réussira-t-il à faire décrocher un rôle à Jeanne Meyer, actrice des années 80 ?
Et qu’arrivera-t-il à John McKenzie, astronaute tombé du ciel et recueilli par Madame Hamida ?",['Samuel Benchetrit'],1 h 40 min,7 octobre 2015,"['Isabelle Huppert', ' Gustave Kervern', ' Valéria Bruni-Tedeschi']","{'note_moyenne': 7.1, 'nombre_critiques': 2646, 'repartition_note': [9, 15, 31, 56, 147, 375, 912, 767, 259, 75]}",96,"['7,1', '2 873']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$880,180', 'location': 'France'}"
96,L'Affaire SK1,Film,['Policier'],"Paris, 1991. Frank Magne, jeune inspecteur, enquête sur le meurtre d'une jeune femme. Pendant 8 ans, il va traquer un tueur en série auquel personne ne croit.",['Frédéric Tellier'],2 h,7 janvier 2015,"['Raphaël Personnaz', ' Nathalie Baye', ' Olivier Gourmet']","{'note_moyenne': 6.6, 'nombre_critiques': 6776, 'repartition_note': [10, 31, 88, 226, 603, 1764, 2738, 1069, 212, 35]}",97,"['6,6', '2 129']",Reviews,"{'budget': 'EUR5,290,000', 'Cumulative_WW_Gross': '$2,573,400', 'location': 'France'}"
97,Le Voyage d'Arlo,Long-métrage d'animation,"['Animation', ' aventure', ' comédie']","Et si la catastrophe cataclysmique qui a bouleversé la Terre et provoqué l'extinction des dinosaures n'avait jamais eu lieu ? Et si les dinosaures ne s'étaient jamais éteints, et vivaient parmi nous de nos jours ? Arlo, jeune Apatosaure au grand cœur, maladroit et craintif, qui va faire la rencontre et prendre sous son aile un étonnant compagnon : un petit garçon sauvage, très dégourdi, prénommé Spot.",['Peter Sohn'],1 h 33 min,25 novembre 2015,"['Raymond Ochoa', ' Peter Sohn', ' Frances McDormand']","{'note_moyenne': 6.1, 'nombre_critiques': 10018, 'repartition_note': [54, 124, 296, 688, 1560, 2852, 2792, 1210, 320, 122]}",98,"['6,7', '101 772']",66,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$332,207,671', 'location': 'USA'}"
98,Suburra,Film,['Policier'],"La Suburra, quartier malfamé de Rome, est le théâtre d’un ambitieux projet immobilier. L’État, le Vatican et la Mafia sont impliqués. En sept jours, la mécanique va s’enrayer : la Suburra va sombrer, et renaître.",['Stefano Sollima'],2 h 15 min,9 décembre 2015,"['Greta Scarano', ' Pierfrancesco Favino', ' Jean-Hugues Anglade']","{'note_moyenne': 7.2, 'nombre_critiques': 1921, 'repartition_note': [8, 9, 19, 47, 114, 266, 676, 567, 180, 35]}",99,"['7,9', '11 356']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': None, 'location': 'Italy'}"
99,Le Labyrinthe du silence,Film,['Historique'],"À Francfort, Allemagne, en 1958, un procureur fait tout pour ouvrir un procès lorsqu'il découvre des documents qui mettent en cause d'anciens SS.",['Giulio Ricciarelli'],2 h 03 min,6 septembre 2014,"['Alexander Fehling', ' André Szymanski', ' Friederike Becht']","{'note_moyenne': 6.9, 'nombre_critiques': 3757, 'repartition_note': [11, 11, 25, 72, 222, 645, 1482, 967, 273, 49]}",100,"['7,3', '12 119']",62,"{'budget': None, 'Cumulative_WW_Gross': '$4,574,756', 'location': 'Germany'}"
0,Interstellar,Film,"['Aventure', ' science-fiction', 'drame']",Un groupe d'explorateurs exploite une faille dans l'espace-temps afin de parcourir des distances incroyables dans le but de sauver l'humanité.,['Christopher Nolan'],2 h 49 min,5 novembre 2014,"['Matthew McConaughey', ' Anne Hathaway', ' Jessica Chastain']","{'note_moyenne': 7.8, 'nombre_critiques': 103702, 'repartition_note': [426, 449, 910, 1783, 3623, 8154, 18250, 28029, 25478, 16600]}",1,"['8,6', '1 505 320']",74,"{'budget': '$165,000,000', 'Cumulative_WW_Gross': '$701,795,571', 'location': 'USA | UK | Canada'}"
1,The Grand Budapest Hotel,Film,"['Comédie', 'drame']","Les tribulations de M. Gustave, concierge d'un hôtel et de son protégé durant l'entre deux guerres où l'Europe est en plein bouleversement.",['Wes Anderson'],1 h 39 min,7 mars 2014,"['Ralph Fiennes', ' Tony Revolori', ' Saoirse Ronan']","{'note_moyenne': 7.8, 'nombre_critiques': 70139, 'repartition_note': [100, 135, 391, 765, 1985, 5309, 15410, 26004, 14942, 5098]}",2,"['8,1', '705 100']",88,"{'budget': '$25,000,000', 'Cumulative_WW_Gross': '$172,940,180', 'location': 'Germany | USA'}"
2,Gone Girl,Film,"['Drame', 'thriller']","Le jour de leur 5e anniversaire de mariage, Amy disparaît et Nick retrouve leur maison saccagée. Tout semble accuser Nick. Il veut la vérité.",['David Fincher'],2 h 29 min,1 octobre 2014,"['Ben Affleck', ' Rosamund Pike', ' Neil Patrick Harris']","{'note_moyenne': 7.7, 'nombre_critiques': 70049, 'repartition_note': [125, 193, 349, 893, 2067, 5797, 16714, 27491, 13419, 3001]}",3,"['8,1', '856 525']",79,"{'budget': '$61,000,000', 'Cumulative_WW_Gross': '$369,330,363', 'location': 'USA'}"
3,Whiplash,Film,['Drame'],"Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement. Il a pour objectif d’intégrer le fleuron des orchestres dirigé par Terence Fletcher, professeur féroce et intraitable. Lorsque celui-ci le repère enfin, Andrew se lance, sous sa direction, dans la quête de l’excellence...",['Damien Chazelle'],1 h 47 min,10 octobre 2014,"['Miles Teller', ' J.K. Simmons', ' Melissa Benoist']","{'note_moyenne': 8.1, 'nombre_critiques': 61812, 'repartition_note': [120, 122, 255, 471, 1187, 3264, 10659, 22182, 17704, 5848]}",4,"['8,5', '714 217']",88,"{'budget': '$3,300,000', 'Cumulative_WW_Gross': '$49,396,747', 'location': 'USA'}"
